id;institution_id;campus_name;region_id;level_id;address;major_id;name;accredited;accredited_years;area_id;duration;duration_type;tuition;application_type;shift;entry_req;benefits;vacancies;repostulacion
I70S1C3J1V2;70;SANTIAGO;13;3;NA;17;ARQUITECTURA;1;7;3;11;SEMESTRES;4740500;NA;1;NA;1;240;0
I70S1C68J1V2;70;SANTIAGO;13;3;NA;2;ACTUACION TEATRAL;1;7;3;10;SEMESTRES;3982100;NA;1;NA;1;23;0
I70S1C70J1V1;70;SANTIAGO;13;3;NA;47;DISEÑO TEATRAL;1;7;3;10;SEMESTRES;3982100;NA;1;NA;1;25;1
I70S1C23J1V1;70;SANTIAGO;13;3;NA;48;DISEÑO;1;7;3;10;SEMESTRES;4740500;NA;1;NA;1;150;0
I70S1C931J1V1;70;SANTIAGO;13;3;NA;18;LICENCIATURA EN ARTES CON MENCION EN ARTES VISUALES;1;7;3;8;SEMESTRES;3717300;NA;1;NA;1;80;0
I70S1C74J1V1;70;SANTIAGO;13;3;NA;18;TEORIA E HISTORIA DEL ARTE;1;7;3;8;SEMESTRES;3598100;NA;1;NA;1;35;1
I70S1C73J1V2;70;SANTIAGO;13;3;NA;155;TEORIA DE LA MUSICA;1;7;3;12;SEMESTRES;3982100;NA;1;NA;1;18;0
I70S1C47J1V1;70;SANTIAGO;13;3;NA;11;INGENIERIA AGRONOMICA;1;7;2;10;SEMESTRES;5059300;NA;1;NA;1;150;1
I70S1C45J1V1;70;SANTIAGO;13;3;NA;140;INGENIERIA FORESTAL;1;7;2;10;SEMESTRES;5059300;NA;1;NA;1;65;1
I70S1C157J1V1;70;SANTIAGO;13;3;NA;152;MEDICINA VETERINARIA;1;7;2;10;SEMESTRES;5059300;NA;1;NA;1;180;0
I70S1C63J1V1;70;SANTIAGO;13;3;NA;133;INGENIERIA EN RECURSOS NATURALES RENOVABLES;1;7;10;10;SEMESTRES;5059300;NA;1;NA;1;70;0
I70S1C814J1V1;70;SANTIAGO;13;3;NA;38;CONTADOR AUDITOR;1;7;1;10;SEMESTRES;5465600;NA;1;NA;1;67;0
I70S1C816J1V1;70;SANTIAGO;13;3;NA;99;INGENIERIA EN INFORMACION Y CONTROL DE GESTION;1;7;1;10;SEMESTRES;5465600;NA;1;NA;1;137;0
I70S1C442J1V1;70;SANTIAGO;13;3;NA;198;PEDAGOGIA EN EDUCACION MEDIA EN MATEMATICAS Y FISICA;1;7;7;10;SEMESTRES;4381600;NA;1;NA;1;63;0
I70S1C5J1V1;70;SANTIAGO;13;3;NA;30;BIOLOGIA CON MENCION EN MEDIO AMBIENTE;1;7;4;10;SEMESTRES;4227000;NA;1;NA;1;35;0
I70S1C6J1V1;70;SANTIAGO;13;3;NA;31;BIOQUIMICA;1;7;4;12;SEMESTRES;4797600;NA;1;NA;1;39;0
I70S1C61J1V1;70;SANTIAGO;13;3;NA;86;INGENIERIA EN ALIMENTOS;1;7;10;12;SEMESTRES;4688200;NA;1;NA;1;34;1
I70S1C76J1V1;70;SANTIAGO;13;3;NA;30;LICENCIATURA EN CIENCIAS CON MENCION EN BIOLOGIA;1;7;4;8;SEMESTRES;4068200;NA;1;NA;1;27;0
